vr_id,vendor_id,vr_productcode,vr_minqty,vr_maxqty,vr_price,vr_partno,vr_deactivate_until,lastmodified,lastmodby
"1726","100","9-99-2836","1","",".0100","9-99-2836","","2025-04-10 11:47:00","1"
"509","100","9-99-3036","1","",".0100","9-99-3036","","2025-04-10 11:47:00","1"
"2102","11","9-99-3402","1","",".0100","9-99-3402","","2025-04-10 11:47:00","1"
"3492","55","9-99-7316","1","",".8800","9-99-7316 -#1626","","2026-06-19 10:13:00","1"
"511","100","9-99-7362","1","",".0100","9-99-7362","","2025-04-10 11:47:00","1"
"3493","55","9-99-7363","1","",".6700","9-99-7363 -#1626F","","2025-04-10 11:47:00","1"
"513","100","9-99-7370","1","",".0100","9-99-7370","","2025-04-10 11:47:00","1"
"1269","100","90056900","1","",".0100","90056900","","2025-04-10 11:47:00","1"
"1058","100","90059015","1","",".0100","90059015","","2025-04-10 11:47:00","1"
"1059","100","90107092","1","",".0100","90107092","","2025-04-10 11:47:00","1"
"1060","100","90359004","1","",".0100","90359004","","2025-04-10 11:47:00","1"
"2005","11","907514542","1","",".0100","907514542","","2025-04-10 11:47:00","1"
"934","100","9130-3077PLCM-AL","1","",".0100","9130-3077PLCM-AL","","2025-04-10 11:47:00","1"
"935","100","9130-3077PLCM-DU","1","",".0100","9130-3077PLCM-DU","","2025-04-10 11:47:00","1"
"932","100","9130-3077T-AL","1","",".0100","9130-3077T-AL","","2025-04-10 11:47:00","1"
"933","100","9130-3077T-DU","1","",".0100","9130-3077T-DU","","2025-04-10 11:47:00","1"
"515","100","917312877","1","",".0100","917312877","","2025-04-10 11:47:00","1"
"516","100","917312878","1","",".0100","917312878","","2025-04-10 11:47:00","1"
"3742","88","9227","1","","197.1600","9227","","2025-04-10 11:47:00","1"
"928","100","9330-3077PLCM-LH-AL","1","",".0100","9330-3077PLCM-LH-AL","","2025-04-10 11:47:00","1"
"931","100","9330-3077PLCM-LH-DU","1","",".0100","9330-3077PLCM-LH-DU","","2025-04-10 11:47:00","1"
"929","100","9330-3077PLCM-RH-AL","1","",".0100","9330-3077PLCM-RH-AL","","2025-04-10 11:47:00","1"
"930","100","9330-3077PLCM-RH-DU","1","",".0100","9330-3077PLCM-RH-DU","","2025-04-10 11:47:00","1"
"926","100","9340-3077LH-AL","1","",".0100","9340-3077LH-AL","","2025-04-10 11:47:00","1"
"927","100","9340-3077RH-AL","1","",".0100","9340-3077RH-AL","","2025-04-10 11:47:00","1"
"925","100","9340-3077RH-DU","1","",".0100","9340-3077RH-DU","","2025-04-10 11:47:00","1"
"1934","11","934312965","1","","407.2000","934312965","","2025-04-10 11:47:00","1"
"518","100","936545602","1","",".0100","936545602","","2025-04-10 11:47:00","1"
"936","100","95005-975","1","",".0100","95005-975","","2025-04-10 11:47:00","1"
"2956","11","951152","1","","29.8000","951152 -1152","","2025-04-10 11:47:00","1"
"3968","11","9600-630","1","","287.5000","9600-630 -SECLK/LKMSTRS","","",""
"906","100","96135-000","1","",".0100","96135-000","","2025-04-10 11:47:00","1"
"907","100","96135R","1","",".0100","96135R","","2025-04-10 11:47:00","1"
"909","100","96537A","1","",".0100","96537A","","2025-04-10 11:47:00","1"
"3300","55","96537R","1","","19.2400","96537R -#1158","","2025-04-10 11:47:00","1"
"3303","55","96XXX-XXX","1","","35.4500","96XXX-XXX -#1438","","2025-04-10 11:47:00","1"
"3245","11","972514542","1","",".0100","514542  & 314327","","2025-04-10 11:47:00","1"
"1453","100","99-9999-4135","1","",".0100","99-9999-4135","","2025-04-10 11:47:00","1"
"1061","100","99020011","1","",".0100","99020011","","2025-04-10 11:47:00","1"
"1062","100","99055112","1","",".0100","99055112","","2025-04-10 11:47:00","1"
"1063","100","99055113","1","",".0100","99055113","","2025-04-10 11:47:00","1"
"1064","100","99070018","1","",".0100","99070018","","2025-04-10 11:47:00","1"
"1065","100","99070019","1","",".0100","99070019","","2025-04-10 11:47:00","1"
"1066","100","99070020","1","",".0100","99070020","","2025-04-10 11:47:00","1"
"1067","100","99070071","1","",".0100","99070071","","2025-04-10 11:47:00","1"
"1068","100","99070075","1","",".0100","99070075","","2025-04-10 11:47:00","1"
"1069","100","99071108","1","",".0100","99071108","","2025-04-10 11:47:00","1"
"1070","100","99071109","1","",".0100","99071109","","2025-04-10 11:47:00","1"
"1071","100","99071112","1","",".0100","99071112","","2025-04-10 11:47:00","1"
"1268","100","99071115","1","",".0100","99071123","","2025-04-10 11:47:00","1"
"1072","100","99071123","1","",".0100","99071123","","2025-04-10 11:47:00","1"
"1073","100","99071216","1","",".0100","99071216","","2025-04-10 11:47:00","1"
"1074","100","99071217","1","",".0100","99071217","","2025-04-10 11:47:00","1"
"1075","100","99071262","1","",".0100","99071262","","2025-04-10 11:47:00","1"
