Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Old Part #
M-00750,"BAR,RND.,STEEL,7/16 DIA.,FATIGUEPROOF",IN,1.47,0.74,,,,
M-00753,"BAR,RECT.,ALUM.,1 X 1-3/4,6061-T6",IN,3.23,1.62,,,,24-1266
M-00754,"CHANNEL,ALUM.,1 X 1/2 X 1/8,6063-T5",IN,1.47,0.74,,,,14-4094
M-00758,"BAR,RND.,SS,1/2 DIA.,416",IN,1.47,0.74,,,,14-1133
M-00759,"BAR,RND.,STEEL,9/16 DIA.,1018",IN,2.65,1.33,,,,
M-00760,"BAR,RECT.,STEEL,3/16 X 3,1018",IN,1.87,0.94,,,,14-10201
M-00761,"BAR,ANGLE,ALUM.,1-1/2 X 1-1/2 X 1/4,6061",IN,1.47,0.74,,,,14-1320
M-00762,"STRIP,POLYPROPYLENE,.030 X 2.75",IN,0.17,0.09,,,,14-9115-01
M-00770,"BLOCK, PIVOT, FIXED SIDELITE",EA,25.0,12.5,,,,14-14051
M-00771,"BRACKET, BOTTOM GUIDE, FSRH",EA,84.0,42.0,,,,14-14052-10
M-00772,"BRACKET, BOTTOM GUIDE, FSLH",EA,84.0,42.0,,,,14-14052-20
M-00773,"BAR,RND.,DELRIN,1-3/8 DIA.",IN,3.38,1.69,,,,14-1277
M-00775,"BAR,RECT.,ALUM.,3/8 X 1-1/4,6061-T6",IN,1.47,0.74,,,,14-1150
M-00782,"CLIP,TRANSOM,MILL,EXTRU",IN,1.47,0.74,,,,14-9876-03
M-00783,"DOOR ROLLER, URETHANE",EA,12.1,6.05,,,,14-1676
M-00785,"MTG BLK, NOSE CASTER, NAR",EA,33.0,16.5,,,,14-5539-01
M-00786,"BAR,ANGLE,STEEL,4 X 3-1/2 X 1/4,A36",IN,3.23,1.62,,,,
M-00787,"MTG BLK, NOSE CASTER, MED STILE",EA,33.0,16.5,,,,14-5539-02
M-00789,"BAR,RECT.,ALUM.,1/2 X 1-1/4,6061-T6",IN,1.47,0.74,,,,14-1861
M-00794,"BAR,RECT.,ALUM.,3/8 X 3/4,6061-T6",IN,1.47,0.74,,,,14-14069
M-00795,TRANSOM CLIP,EA,34.0,17.0,,,,14-4095
M-00797,"BAR,RECT.,ALUM.,3/8 X 3/4 X 6 C.T.L.",EA,3.55,1.78,,,,14-14070
M-00799,TRANSOM CLIP,EA,10.8,5.4,,,,14-9877
M-00802,"BRACKET,SWITCH,DOOR CLOSED POSITION",EA,3.23,1.62,,,,24-11169
M-00805,"LOCK ROD,GUIDE,EXTRU",IN,1.47,0.74,,,,14-13855-03
M-00806,"ROLLER,HANGER,W/ BEARING",EA,44.0,22.0,,,,21-8830
M-00807,"BLOCK, GUIDE, LOCKROD",EA,18.0,9.0,,,,14-14060
M-00810,"TAPE,DOUBLE COATED POLYESTER,9MM",IN,107.0,53.5,,,,14-10143
M-00821,"STRIP,ABS,TEXTURED,1/8 X 1-3/4,BLACK",IN,1.47,0.74,,,,14-5972
M-00822,"BAR,RND.,STEEL,1.0 DIA.,INCUT 200",IN,3.23,1.62,,,,14-2728
M-00825,"BAR,RECT.,ALUM.,1-1/2 X 2,6061-T651",IN,18.0,9.0,,,,14-2730
M-00829,"ENDCAP, CARRIER, 1175",EA,23.0,11.5,,,,14-14031
M-00846,"HINGE,BI-FOLD,MILL,EXTRU",IN,8.0,4.0,,,,24-8914-03
M-00847,"HINGE,BIFOLD,MACHINED,RH,MILL",EA,65.0,32.5,,,,24-8923-03
M-00861,"STIFFENER,STILE,MILL,EXTRU",IN,1.47,0.74,,,,14-13950-03
M-00863,"RAIL,CLIP,MILL,EXTRU",IN,0.95,0.48,,,,24-2967-03
M-00870,"CLIP,RAIL,.391 HOLE,METAL",EA,8.2,4.1,,,,14-0984-01
M-00871,"CLIP,RAIL,.500 HOLE,METAL",EA,8.2,4.1,,,,14-0984-02
M-00872,"CLIP,RAIL,3"" TOP RAIL,.391 HOLE,METAL",EA,8.6,4.3,,,,14-10108-01
M-00873,"CLIP,RAIL,3"" TOP RAIL,.500 HOLE,METAL",EA,8.6,4.3,,,,14-10108-02
M-00876,"CLIP,RAIL,6.375"" MUNTIN,.391 HOLE,METAL",EA,20.0,10.0,,,,14-13162
M-00877,"CLIP,RAIL,6.375"" MUNTIN,.500 HOLE,METAL",EA,20.0,10.0,,,,14-13161
M-00878,"CLIP,RAIL,8"" MUNTIN,.391 HOLE,METAL",EA,17.0,8.5,,,,14-13195
M-00879,"CLIP,RAIL,8"" MUNTIN,.500 HOLE,METAL",EA,12.4,6.2,,,,14-13194
M-00880,"CLIP,RAIL,2.9"" LONG,METAL",EA,6.4,3.2,,,,14-14192
M-00886,"MOUNT,HEADER, GT8000,MILL,EXTRU",IN,1.47,0.74,,,,24-11866-03
M-00887,"BLK SPACER, LOWER PIVOT, MED STILE",EA,125.0,62.5,,,,24-8386
M-00888,"BAR,RECT.,ALUM.,1 X 3,6061-T6",IN,5.4,2.7,,,,14-1977
M-00889,"SNAP CHANNEL, GT8000,EXTRU",IN,0.58,0.29,,,,24-11865-01
M-00890,"HOUSING,PANIC LATCH,EXTRU",IN,3.23,1.62,,,,14-6131-03
M-00891,"THRESHOLD,EXTRU MILL",IN,1.47,0.74,,,,14-0969
M-00894,"GUIDE TRACK,EXTERNAL,EXTRU",IN,1.47,0.74,,,,14-1279-01
M-00895,"DOOR,PULL,EXTRU",IN,1.47,0.74,,,,24-5471-03
M-00896,"PUSHBAR,MOUNT,MILL,EXTRU",IN,1.47,0.74,,,,14-5470-03
M-00898,"LEVER,PANIC LATCH,MILL,EXTRU",IN,1.47,0.74,,,,24-6140-03
M-00899,"TUBE,ALUM.,1 X 1 X .092,EXTRU",IN,0.41,0.21,,,,14-10254-01
M-00912,"HDER,BOTTOM LOAD,END BRACKET,MILL,EXTRU",IN,1.47,0.74,,,,24-0127-03
M-00913,"BRKT, TELE BELT CLIP",EA,19.0,9.5,,,,14-13948
M-00914,"BAR,RECT.,ALUM.,3/16 X 3,6061-T6",IN,1.47,0.74,,,,14-14220
M-00922,"BAR,RECT.,STEEL,3/16 X 4,1018",IN,1.47,0.74,,,,14-10202
M-00926,"BASE PLATE, IDLER",EA,22.0,11.0,,,,14-13926
M-00927,"BLOCK, PILLOW, IDLER",EA,85.0,42.5,,,,14-13927
M-00928,"PULLEY, 10 TOOTH, L PITCH TIMING",EA,47.0,23.5,,,,14-13924
M-00929,"SHAFT, 2,1 SPEED REDUCER",EA,139.0,69.5,,,,24-13922
M-00930,"PULLEY, 20 TOOTH, L PITCH, TIMING",EA,71.0,35.5,,,,14-13925
M-00934,"PULLEY, 14 TOOTH, H PITCH, TIMING",EA,75.0,37.5,,,,14-13996
M-00938,"TAPE,DOUBLE SIDED,.005 X .50",IN,1.47,0.74,,,,14-14067
M-00942,"BRKT,BELT TENSIONING",EA,20.0,10.0,,,,14-13944
M-00949,"BAR,RECT.,ALUM.,3/4 X 1-1/2,6061-T6",IN,2.17,1.09,,,,14-1440
M-00952,"PIN, HINGE, BI-FOLD",EA,22.0,11.0,,,,14-8956
M-00953,"BRKT, TELESCOPIC ELECTRIC LOCK",EA,99.0,49.5,,,,14-14508
M-00955,"GASKET,BULB,1/4 X 1/2,SILICONE",IN,1.47,0.74,,,,14-14032
M-00956,"LABEL,LOCK,ELECTRIC,FAIL SAFE",EA,4.01,2.01,,,,14-14576
