Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10FILLER12UL,"Filler Bar For UL Maglocks 10.5""""L x 0.75""""W x 0.50""""H",EA,25.35,13.6,,,,12.83
10FILLER14UL,Filler Bar For UL Maglocks 1/4 INCH 0.25”H x 0.75”W x 9.84”L,EA,25.35,11.68,,,,11.02
10FILLER34UL,"Filler Bar For UL Maglocks 10.5""""L x 0.75""""W x 0.75""""H",EA,28.72,15.75,,,,14.86
10FILLER58UL,"Filler Bar For UL Maglocks 5/8 10.5""""L x 0.75""""W x 0.625""""H",EA,30.97,17.19,,,,16.21
10FLYKITB,"Fly Kit, IR Sensor PKG, Black FSA housing + FCA Ceiling adap",EA,142.58,67.47,,,,63.66
10FLYKITBERT,"Fly Kit, IR Sensor ERT, Black FSA +FCA, Extended Relay Time",EA,142.58,67.47,,,,63.66
10FOCUS,Focus Safety Sensor,EA,348.45,164.46,,,,155.15
10FOCUS2,Recess Mounted Focus,EA,348.45,164.46,,,,155.15
10FSSMB,FLATSCAN-S/A KIT,EA,71.91,33.95,,,,32.03
10GL1200R,10GL1200R -- MAGLOCK WEATHER-PROOF 1200LB,EA,543.35,159.3,,,,150.28
10GL1200SR,"Maglock, Weather-Proof, 1200lb WITHOUT conduit fitting",EA,524.25,153.35,,,,144.67
10GTSSHARN,"Harness, SS Gyrotech Relay Superscan relay harness",EA,72.05,34.13,,,,32.2
10HORTONSSHARN,"Harness, SS HORTON Superscan Relay harness",EA,51.82,28.63,,,,27.01
10ICA,10ICA,EA,209.37,74.92,,,,70.68
10IMB,"Ixio Mounting Bracket, Black 10IMB",EA,32.97,18.25,,,,17.21
10INDBRACKET,10INDBRACKET -- INDUSTRIAL BRACKET,EA,213.48,120.52,,,,113.7
10IS40,IS40 Industrial Dual Sensor,EA,729.22,355.83,,,,335.69
10IS40P,IS40P Ind. Presence Sensor,EA,597.76,280.98,,,,265.08
10IS40XL,IS40XL Industrial Dual Sensor,EA,729.22,355.83,,,,335.69
10IXIODT1,IXIO Sliding Door Sensor,EA,726.72,186.39,,,,175.84
10IXIODT1INDUS,IXIO INDUSTRIAL Sliding Door Sensor,EA,726.72,186.39,,,,175.84
10IXIODT1V,IXIO Door Sensor with Camera Sliding Door Sensor + Video,EA,1400.63,420.6,,,,396.8
10IXIOSPACER,IXIO ACCESSORIES IXIO SPACER PLASTIC BLACK,EA,48.2,23.23,,,,21.92
10IXIOST,IXIOST Presence Sensor,EA,390.9,184.65,,,,174.2
10IXIOSTINDUS,IXIOST Presence Sensor Industrial,EA,390.9,184.65,,,,174.2
10JAMBCAM,BEA Jamb Camera System Camera + Housing +PSupply,EA,718.88,279.62,,,,263.8
10JAMBSWITCHMOM,"Jambswitch, Momentary 1/4"""" Alum Faceplate",EA,122.61,58.04,,,,54.76
10JAMBSWITCHONF,"Jambswitch, On/Off 1/4"""" Alum Faceplate",EA,120.61,56.98,,,,53.76
10KEYPADU,"KEYPAD, UNIVERSAL",EA,286.92,105.54,,,,99.57
10KEYPADUSL,"10KEYPADUSL, Keypad, Slimline",EA,286.92,105.54,,,,99.57
10KEYSWITCHMOM,"Keyswitch, Momentary 1/4"""" Alum faceplate",EA,146.61,70.76,,,,66.76
10KEYSWITCHONF,"Keyswitch, On/Off 1/4"""" Alum faceplate",EA,122.61,58.04,,,,54.76
10LBA,Laser Bracket Accessory 02.0263 00462 0001,EA,59.06,32.97,,,,31.1
10LE21,"Module, LE21 Lock-out Relay, Low Energy",EA,70.29,39.42,,,,37.19
10LEDSOUNDER,"10LEDSOUNDER, SG ""Occupied When Lit"" LED Indicator w/ Buzzer",EA,154.32,72.53,,,,68.42
10LHB,"10LHB, LZR HOUSING BRACKET",EA,265.19,126.14,,,,119.0
10LIGHT-A,"10LIGHT-A TL70 Audible Module; Standard Voltage, 12-30 Vdc, BLACK SGTL70A",EA,160.67,109.22,,,,103.04
10LIGHTBRACKET,"10LIGHTBRACKET Industrial Light Bracket. S/S,Right Angle 69mm X 45mm X 61mm",EA,40.45,26.87,,,,25.35
10LIGHTBRACKET-TL70,"Bracket, 30mm, 12 Gauge SS, Curved Mounting",EA,40.45,26.87,,,,25.35
10LIGHTC-G,10LIGHTC-G EZ-LIGHT CL50 Green Column Light Hard Wired CL50GXXP,EA,164.05,111.82,,,,105.49
10LIGHTC-R,EZ-LIGHT CL50 Red Column Light Hard Wired CL50RXXP,EA,164.05,111.82,,,,105.49
10LIGHTC-RA,"10LIGHTC-RA EZ-LIGHT -- CL50 Red Audible, Alarm Column Light W/PNP Inpts. CL50RXXAP",EA,262.92,179.44,,,,169.28
10LIGHTC-Y,"EZ-LIGHT CL50 Yellow Column Light, Hard Wired CL50YXXP",EA,164.05,111.82,,,,105.49
