Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Addison Price,Door Controls Price,Best Source
202-005118906,"Touchless Activation,MS11,""SS"" Double""Wave to Open"" OBSOLETE",EACH,768.0,521.66,,,,,,521.664
202-005118907,BEA Black Single & Double Gang MS31 Text & Hand Logo,EACH,717.0,487.02,,,,,,487.02225
202-005118908,BEA Gray Single & Double Gang MS31 Text & Hand Logo,EACH,717.0,487.02,,,,,,487.02225
202-005118910,"Surface Mount Box,BEA for 4.5x4.5 Push Plates",EACH,79.0,53.66,,,,,,53.66075
202-005118914,"BEA Push Plate, Jamb SS,HC Push to Open",EACH,128.0,86.94,,,,,70.52,70.52
202-005120781,"Bearing Block, Pivot, Heavy Duty",EACH,36.0,24.45,,,,,,24.453
202-005121570,"End Cap, Header, 8000, BDED Cut-out, Simple Swing",EACH,42.0,28.53,,,,,,28.528499999999998
202-005121578,"Bracket, Header to Jamb, BDED Simple Swing, Left Hand",EACH,36.0,24.45,,,,,,24.453
202-005121579,"Bracket, Header to Jamb, BDED Simple Swing, Right Hand",EACH,36.0,24.45,,,,,,24.453
202-005122379,BEA 10BR3X 3-Relay Logic | module,EACH,304.0,206.49,,,,,,206.492
202-005123256,"LZR FLATSCAN SWB,BEA,kit,black OnDoor Presence Sensors,Mon.",EACH,2578.0,1751.11,,,,,,1751.1064999999999
202-005124243,"4.5""x4.5"" BEA Black SQ Push Plate Flush Mounting Box",EACH,98.0,66.57,,,,,,66.5665
202-005124412,CM-330 Battery Powered Hands- free Surewave Switch,EACH,831.0,564.46,,,,,,564.4567499999999
202-005124413,CM-RX90 Wireless Reciever,EACH,262.0,177.96,,,,,,177.9635
202-005124604,"Mounting Block, HD Pivot, Shim medium stile",EACH,19.0,12.91,,,,,,12.90575
202-005124934,"BEA 10IRA, Ixio Deluxe Rain Cover",EACH,192.0,130.42,,,,,,130.416
202-005125285,"Kit, Activation, Restroom Kit, BEA, Wireless **DROP SHIP**",EACH,711.0,482.95,,,,,,482.94675
202-005125437,"BEA SS Single Gang MS41 ""Wave To Open"" Text & Hand Logo",EACH,735.0,499.25,,,,,,499.24875
202-005125438,"BEA SS Single Gang MS41 ""Wave To Open"" Text & Hand Logo",EACH,770.0,523.02,,,,,,523.0224999999999
202-005126121,"Bracket, Display Mount, Internal",EACH,58.0,39.4,,,,,,39.3965
202-005127521,Simpleswing Spindle Cover,EACH,9.0,6.11,,,,,,6.11325
202-00518912,"BEA Surface Mount Box 1.5 x 4.75"" 10BOXJAMBSM",EACH,57.0,38.72,,,,,,38.71725
202-005812190,"Kit, 8600 Sensors, Single Door *DROP SHIP* 10LZRMICROSCAN1690",EACH,3637.0,2470.43,,,,,,2470.43225
202-005812191,Kit8600SensorsDbleDoorDROPSHIP 2-10EAGLES 10LZRMICROSCAN26EACH,EACH,5196.0,3529.38,,,,,,3529.383
202-005812192,"Kit, 8600 Sensor,Double-Egress 10LZRMICROSCAN2DE690 DROP SHIP EACH",EACH,7881.0,5353.17,,,,,,5353.16925
202-005812669,"Pivot, Bottom, Assembly, HD Surface Applied w/o Threshold",EACH,500.0,339.62,,,,,,339.625
202-005816400,"Kit, Standard Arm, CL (S8100/S6100 Operator)",EACH,707.0,480.23,,,,428.4,812.91,428.4
202-005816402,"Kit, Standard Arm, DB (S8100/S6100 Operator)",EACH,844.0,573.29,,,,,776.48,573.287
202-102117704,"Wrench, 17mm, Sheetmetal",EACH,42.0,28.53,,,,,,28.528499999999998
202-127962,0562 Dome Plug,EACH,2.0,1.36,,,,,,1.3585
202-128102,"Nylon Plastic Snap, 3-Point Locking",EACH,1.0,0.68,,,,,,0.67925
2-45-0001,"Screw Pack, Pivot Bearing Base",EACH,10.0,6.79,,,,,,6.7924999999999995
2-45-0002,"Screw Pack, Threshold",EACH,8.0,5.43,,,,,,5.434
2-45-0003-CL,"Screw Pack, Pull Handle",EACH,3.0,2.04,,,,,,2.03775
2-45-0003-DB,"Screw Pack, Pull Handle",EACH,5.0,3.4,,,,,,3.3962499999999998
2-51-0001,"Screw Pack, Single & Bipart",EACH,49.0,33.28,,,,,,33.28325
2-51-0001-BL,"Screw Pack, Cart Bars / Push Bars",EACH,6.0,4.08,,,,,,4.0755
2-51-0001-CL,"Screw Pack, Cart Bars / Push Bars",EACH,5.0,3.4,,,,,,3.3962499999999998
2-51-0003,"Screw Pack, Transom",EACH,7.0,4.75,,,,,,4.75475
2-81-0001,"Screw Pack, DFA Single",EACH,10.0,6.79,,,,,,6.7924999999999995
2-82-0002,"Screw Pack, SS/Square DFA Dual",EACH,4.0,2.72,,,,,,2.717
330001207,Pull Door Stop (HA7100-HA7200) **NON-STK**,EACH,58.0,39.4,,,,,,39.3965
4-06-0010-CL,"Glass Retention, 1/4"", Sqr Clear Anodized",FT,14.0,9.51,,,,,,9.5095
4-06-0010-DB,"Glass Retention, 1/4"", Sqr Dark Bronze Anodized",FT,16.0,10.87,,,,,,10.868
4-06-0011-CL,"Glass Retention, 1/4"", Bev Clear Anodized",FT,12.0,8.15,,,,,,8.151
4-06-0011-DB,"Glass Retention, 1/4"", Bev Dark Bronze Anodized",FT,14.0,9.51,,,,,,9.5095
4-06-0012-CL,"Glass Retention, 3/8"", Sqr Clear Anodized",FT,18.0,12.23,,,,,,12.2265
4-06-0012-DB,"Glass Retention, 3/8"", Sqr Dark Bronze Anodized",FT,19.0,12.91,,,,,,12.90575
4-06-0013-CL,"Glass Retention, 1/2"", Sqr (9/16"", 5/8"") Clear Anodized",FT,20.0,13.58,,,,,,13.584999999999999
4-06-0013-DB,"Glass Retention, 1/2"", Sqr (9/16"", 5/8"") Dark Bronze Ano",FT,22.0,14.94,,,,,,14.9435
4-06-0014-CL,"Glass Retention, 3/4"", Sqr Clear Anodized",FT,16.0,10.87,,,,,,10.868
4-06-0014-DB,"Glass Retention, 3/4"", Sqr Dark Bronze Anodized",FT,19.0,12.91,,,,,,12.90575
4-06-0015-CL,"Glass Retention, 1"", Sqr Clear Anodized",FT,13.0,8.83,,,,,,8.830250000000001
4-06-0015-DB,"Glass Retention, 1"", Sqr Dark Bronze Anodized",FT,16.0,10.87,,,,,,10.868
4-10-1010,"Nut, Door Adjustment",EACH,26.0,17.66,,,,,,17.660500000000003
4-11-0432,"Angle Ass'y., Sidelite Pivot (Top) - L.H.",EACH,73.0,49.59,,,,55.25,63.11,49.58525
4-11-0433,"Angle Ass'y., Sidelite Pivot (Top) - R.H.",EACH,73.0,49.59,,,,55.25,67.16,49.58525
4-11-0434,"Angle Ass'y., Sidelite Pivot (Bottom) - L.H.",EACH,75.0,50.94,,,,55.25,69.0,50.943749999999994
4-11-0435,"Angle Ass'y., Sidelite Pivot (Bottom) - R.H.",EACH,75.0,50.94,,,,55.25,69.0,50.943749999999994
4-11-0436,"Angle Ass'y., Sidelite Pivot (Top) - L.H. Medium Stile",EACH,77.0,52.3,,,,,,52.30225
4-11-0437,"Angle Ass'y., Sidelite Pivot (Top) - R.H. Medium Stile",EACH,77.0,52.3,,,,,,52.30225
4-11-0438,"Angle Ass'y., Sidelite Pivot (Bottom) - L.H. Medium Stile",EACH,73.0,49.59,,,,,,49.58525
4-11-0439,"Angle Ass'y., Sidelite Pivot (Bottom) - R.H. Medium Stile",EACH,73.0,49.59,,,,,,49.58525
4-11-0459,Pin Guide Ass'y.- RBO Units (Reverse Breakout),EACH,108.0,73.36,,,,,,73.359
4-11-0469,Pin Guide Ass'y. (Parts Orders),EACH,162.0,110.04,,,,52.7,93.15,52.7
4-11-0470,Sway Guide Ass'y. - L.H. (Parts Orders),EACH,408.0,277.13,,,,130.05,221.15,130.05
