Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,A&M Part #
C00294.0002,"WEATHERSEALBRUSH BRKT-1.25"" MEMTECH P/N 230.50125 9 FT",LF,36.5,25.55,,,,
C00295.0000,WEATHERSTRIPSX INTRLCK 70 DUR TREMCO # 00210372E7Z TR10372E,LF,1.7,1.19,,,,
C00296.0000,C00.88MIL12-1.0 TRIM BRACKET &BRUSH 490623 BR-412462 EX-894573,LF,12.8,8.96,,,,
C00297.000A,ALUM BAR 1/8X13/4 6063CLR,LF,10.4,7.28,,,,
C00297.000B,ALUM BAR 1/8X13/4 6063 BZ,LF,34.8,24.36,,,,
C00298.0001,ALUM 1/8 X 2 6063T5 MILL 288 IN,LF,4.8,3.36,,,,
C00298.001A,ALUM BAR 1/8X2 CLEAR - 288 IN,LF,7.9,5.53,,,,
C00298.001B,ALUM BAR 1/8X2 BRONZE 288 IN,LF,7.9,5.53,,,,
C00299.0001,AA90CLA10-.63 TRIM BKT BRUSH 490622 BR-410552 EX-894829,LF,60.2,42.14,,,,
C00299.0002,"BRUSH 3/4"" H BRKT MEMTECH BR410860 EXT894863",LF,11.2,7.84,,,,
C00299.0003,"BRUSHSWEEP-.75"" TRIM X 10' MEMTECH # 410860",LF,6.3,4.41,,,,
C00300.000A,ALUM TUBE 1 3/4 X 4 - CLEAR 291 IN,LF,41.1,28.77,,,,
C00300.000A96,"ALUMINUM JAMB TUBE 1.75"" X 4"" - CLEAR FINISH - NO PREP 96""",EA,270.0,189.0,,,,
C00300.000B,ALUM TUBE 1 3/4 X 4 - DARK BRONZE 291 IN,LF,47.6,33.32,,,,
C00300.000B96,"ALUMINUM JAMB TUBE 1.75"" X 4"" - DARK BRONZE FINISH - NO PREP 96""",EA,517.0,361.9,,,,
C00300.001A,EXTRU; HORIZ 1.75 X 4 IN X .090 WALL CLEAR - THIN WALL - CLEAR 288 IN,LF,38.1,26.67,,,,
C00300.001B,EXTRU; HORIZ 1.75 X 4'' X 0.90 - THIN WALL - DARK BRONZE 288 IN,LF,38.1,26.67,,,,
C00303.003B,ALUM TRACK PARALLEL ARM - DARK BRONZE 288 IN,LF,17.5,12.25,,,,
C00306.0001,ALUM BAR 1/4X1 1/4 6061T6,LF,14.2,9.94,,,,
C00313.0000,CLIP S/S AMARLITE 23501,EA,6.3,4.41,,,,
C00314.0A12,ALUM EXTRUTOP INTERLOCK SX- CLEAR 144 IN,LF,71.1,49.77,,,,
C00314.0B12,ALUM EXTRUTOP INTERLOCK SX-12' BRONZE 144 IN,LF,63.6,44.52,,,,
C00314.A138,ALUM EXTRU;TOP INTERLOCK SX-11.5' CLEAR - 144 IN,LF,68.0,47.6,,,,
C00314.B138,ALUM EXTRU;TOP INTERLOCK SX-11.5' DARK BRONZE - 144 IN,LF,63.6,44.52,,,,
C00315.0000,ALUM THRESHOLD - MILL - 288 IN,LF,29.9,20.93,,,,
C00315.000B,ALUM THRESHOLD BZ 24FT SL BRONZE 288 IN,LF,23.7,16.59,,,,
C00315.001A,CHANNEL.ALUMINUM.EXTRUSION......CLEAR ANODIZE.2.1.5..0125.2..5.,LF,8.7,6.09,,,,C0315A
C00322.0000,VINYL W/S SLOPE STOP 3361 BLACK SANTO,LF,4.8,3.36,,,,
C00323.0A21,ALUM RAIL MS VERTICAL - CLEAR 258 IN,LF,34.9,24.43,,,,
C00323.0B21,ALUM RAIL MS VERTICAL BRONZE 258 IN,LF,38.1,26.67,,,,
C00325.001A,ALUM RAIL TOP 9500 D-38 - CLEAR 288 IN,LF,69.9,48.93,,,,
C00325.001B,ALUM RAIL TOP 9500 D-38 BRONZE 288 IN,LF,84.1,58.87,,,,
C00325.002A,ALUM TOP RAIL 3 IN - CLEAR 288 IN,LF,31.8,22.26,,,,
C00325.002B,ALUM TOP RAIL 3 IN DARK BRONZE 288 IN,LF,27.0,18.9,,,,
C00325.003A,ALUM RAIL;TOP FBO - CLEAR 288 IN,LF,27.0,18.9,,,,
C00325.003B,ALUM RAIL;TOP FBO BRONZE 288 IN,LF,21.4,14.98,,,,
C00326.0002,ALUM BAR 1/4 X 6 6063-T6 - MILL 237 IN,LF,27.0,18.9,,,,
C00327.0A12,ALUM EXTRU;BTM INTERLOCK SX- CLEAR 144 IN,LF,22.3,15.61,,,,
C00327.0B12,ALUM EXTRU;BTM INTERLOCK SX-12' BRONZE 144 IN,LF,25.4,17.78,,,,
C00328.001A,ALUM RAIL TOP 9500 D-1 CLR,LF,74.8,52.36,,,,
C00330.001A,ALUM GUIDE BOTTOM SX - CLEAR 288 IN,LF,35.9,25.13,,,,C0330-1A
C00330.001A60,ALUMINUM BOTTOM GUIDE - CLEAR FINISH - DOES NOT INCLUDE C00289 TRA E A,,140.0,98.0,,,,
C00330.001B,ALUM GUIDE BOTTOM SX SL DARK BRONZE 288 IN,LF,69.4,48.58,,,,C0330-1B
C00330.001B60,ALUMINUM BOTTOM GUIDE - DARK,EA,147.0,102.9,,,,
C00330.002A,"EXTRU; GUIDE, BOTTOM O-PANEL, 2500 ELEGANTS SERIES 2000, 2000B, 2003 -",LF,15.8,11.06,,,,
C00330.002B,"EXTRU; GUIDE, BOTTOM O-PANEL, 25",LF,17.5,12.25,,,,
C00332.0000,ALUM BAR 1/4X2 6061 T6 MILL - 144 IN,LF,14.2,9.94,,,,
C00334.000R,ALUM THRESHOLD MILL 24FT SL,LF,12.8,8.96,,,,
C00334.00RB,ALUM THRESHOLD BRONZE 288 IN,LF,15.8,11.06,,,,
C00335.2A21,ALUM RAIL UPRIGHT - CLEAR 258 IN,LF,27.0,18.9,,,,
C00335.2A2184,NARROW STILE PIVOT-INTERLOCK RAIL CLEAR FINISH - STANDARD 0.090 WALL,EA,108.0,75.6,,,,
C00335.2A24,ALUM RAIL UPRIGHT - CLEAR 294 IN,LF,28.6,20.02,,,,
C00335.2B21,ALUM RAIL UPRIGHT BRONZE 258 IN,LF,42.8,29.96,,,,
C00335.2B2184,NARROW STILE PIVOT-INTERLOCK RAIL DARK BRONZE FINISH - STANDARD 0.09,EA,124.0,86.8,,,,
C00335.2B24,ALUM RAIL UPRIGHT BRONZE 294 IN,LF,34.9,24.43,,,,
C00335.RA21,ALUM RAIL UPRIGHT - CLEAR 258 IN,LF,44.4,31.08,,,,
C00335.RB21,ALUM RAIL UPRIGHT BRONZE 258 IN,LF,31.8,22.26,,,,
C00336.001A,ALUM RAIL BOTTOM 4 IN - CLEAR 288 IN,,50.7,35.49,,,,
C00336.001B,ALUM RAIL BOTTOM 4 IN - DARK BRONZE 288 IN,LF,66.8,46.76,,,,
C00337.008A,DOOR HORIZONTAL NARROW 2.25 IN - THIN WALL - CLEAR 288 IN,LF,14.9,10.43,,,,
C00337.00RA,ALUM RAIL TOP 2.25 IN - CLEAR 288 IN,LF,34.9,24.43,,,,
C00337.00RB,ALUM RAIL TOP 2.25 IN - DARK BRONZE 288 IN,LF,41.1,28.77,,,,
C00338.00RA,ALUM STOP GLASS - CLEAR 288 IN,LF,4.8,3.36,,,,C0338RA
C00338.00RB,ALUM STOP GLASS - DARK BRONZE 288 IN,LF,6.3,4.41,,,,C0338RB
C00338.VNRA,STOP ASSY 0.5 CLR WITH VINYL STOP GLASS CLR,LF,9.7,6.79,,,,
C00338.VNRA96,"STANDARD 1/4"" GLASS STOP CLEAR FINISH 96"" - EXTRUSION HEIGHT 1/2"" TALL",EA,106.0,74.2,,,,
C00338.VNRB,STOP ASSY 0.5 BZ WITH VINYL STOP GLASS BZ,LF,10.1,7.07,,,,
C00338.VNRB96,"STANDARD 1/4"" GLASS STOP CLEAR FINISH 96"" - EXTRUSION HEIGHT 1/2"" TALL",EA,136.0,95.2,,,,
C00338.VNRC,STOP ASSY 0.5 BLK WITH VINYL STOP GLASS BLK,LF,7.9,5.53,,,,
C00339.000R,ALUM EXTR CORNER BLOCK - MILL 288 IN,LF,44.4,31.08,,,,
C00339.00FL,ALUM CORNER BLOCK EXTRUSION MILL – 288 IN,LF,41.1,28.77,,,,
C00340.00RA,ALUM STOP GLASS FOR 1 IN GLASS - CLEAR 288 IN,LF,4.8,3.36,,,,C0340RA
C00340.00RB,ALUM STOP GLASS FOR 1 IN GLASS - DARK BRONZE 288 IN,LF,6.3,4.41,,,,
C00340.VNRA,STOP ASSY 1 IN.CLR WITH VINYL STOP GLASS 1 IN.CLR,LF,7.9,5.53,,,,
C00340.VNRA96,"STANDARD 1"" GLASS STOP CLEAR FINISH 96"" - EXTRUSION HEIGHT 3/4"" TALL -",EA,103.0,72.1,,,,
C00340.VNRB,STOP ASSY 1 IN.BZ WITH VINYL STOP GLASS 1 IN.BZ,LF,9.6,6.72,,,,
C00340.VNRB96,"STANDARD 1"" GLASS STOP CLEAR FINISH 96"" - EXTRUSION HEIGHT 3/4"" TALL -",EA,123.0,86.1,,,,
C00341.0001,GLAZING BEAD SANTOPRENE,LF,3.9,2.73,,,,C0341-1
C00342.000R,ALUM RAIL FIX BOTTOM - MILL 288 IN,LF,20.7,14.49,,,,
C00342.004A,ALUM BOTTOM FIX RAIL-5 1/2 IN - CLEAR 288 IN,LF,42.8,29.96,,,,
C00342.004B,"ALUM BOTTOM FIX RAIL-5 1/2"" BRONZE",LF,38.1,26.67,,,,
C00342.005A,ALUM 9 IN BOTTOM RAIL FOR FIXED PANEL - CLEAR 288 IN,LF,69.9,48.93,,,,
C00342.005B,"ALUM 9"" BOTTOM RAIL FOR FIXED PANEL BRONZE 288 IN",LF,72.9,51.03,,,,
C00342.00RA,ALUM RAIL FIX BOTTOM - CLEAR 288 IN,LF,27.0,18.9,,,,
C00342.00RB,ALUM RAIL FIX BOTTOM BRONZE 288 IN,LF,31.8,22.26,,,,
C00342.4FLA,ALUM EXTRU; 5.5 IN BOTTOM RAIL - CLEAR 288 IN,LF,31.8,22.26,,,,
C00342.4FLB,"EXTRU 5.5"" BOTTOM RAIL-BRONZE 288 IN",LF,35.5,24.85,,,,
C00343.001A,ALUM EXT-TOP HORIZ 1/8 IN WALL - CLEAR 288 IN,LF,46.0,32.2,,,,
C00343.001B,ALUM EXT-TOP HORIZ 1/8 IN WALL - DARK BRONZE 288 IN,LF,55.5,38.85,,,,
C00343.002A,EXTRU; RAIL SO TOP .090 - THIN WALL - CLEAR 288 IN,LF,26.4,18.48,,,,
C00343.002B,EXTRU; RAIL SO TOP THIN WALL - DARK BRONZE 288 IN,LF,34.1,23.87,,,,
C00350.0000,MOHAIR W/S ASTRAGLE SCHLEGEL PN S510CL-430KPBK,LF,4.2,2.94,,,,C0350B
C00351.0002,ALUM JAMB RECESSED 1 3/4 X 4 - MILL 291 IN,LF,31.8,22.26,,,,
C00351.0003,ALUM EXTRU;JAMB 1.75 X 6 X.125 WITH POCKET - MILL 291 IN,LF,41.1,28.77,,,,
C00351.001A,ALUM JAMB RECESSED 1 3/4 X 4 - CLEAR 291 IN,LF,42.8,29.96,,,,
C00351.001A96,"ALUMINUM JAMB TUBE 1.75"" X 4"" - CLEAR FINISH WITH POCKET - NO PREP 96",EA,353.0,247.1,,,,
C00351.001B,ALUM JAMB RECESSED 1 3/4X4 BRONZE 291 IN,LF,39.0,27.3,,,,
C00351.001B96,"ALUMINUM JAMB TUBE 1.75"" X 4"" - DARK BRONZE FINISH WITH POCKET - NO",EA,289.0,202.3,,,,
C00351.002A,ALUM JAMB POCKET-1 3/4X4 - THIN WALL - CLEAR 288 IN,LF,33.3,23.31,,,,
C00351.002B,ALUM JAMB;POCKET-1 3/4X4 - THIN WALL - BRONZE 288 IN,LF,36.5,25.55,,,,
C00351.003A,ALUM EXTRUJAMB-1.75 X 6 X .,LF,49.3,34.51,,,,
C00351.003B,"ALUM EXTRU JAMB-1.75X6X.125 W/POCKT FOR 1/4"" FLUSH GLAZING BRONZE",,50.7,35.49,,,,
C00351.004A,ALUM EXTRUJAMB-1.75X7X.125 W/POCKT FOR 1/4 IN FLUSH GLAZING - CLEAR,,68.0,47.6,,,,
C00351.004B,ALUM EXTRU;JAMB-1.75X7X.125 W/POCKT BRONZE 291 IN,LF,69.9,48.93,,,,
C00353.000A,ALUM COVER;POCKET JAMB - CLEAR 291 IN,LF,11.2,7.84,,,,
C00353.000A96,"ALUMINUM COVER FOR POCKET STYLE JAMBS - CLEAR FINISH 96""",EA,65.5,45.85,,,,
C00353.000B,ALUM COVER;POCKET JAMB 24.25' BRONZE 291 IN,LF,12.8,8.96,,,,
C00353.000B96,"ALUMINUM COVER FOR POCKET STYLE JAMBS - DARK BRONZE FINISH 96""",EA,88.4,61.88,,,,
C00355.0000,"VINYL W/S TRSM BLK VISTAWALL #V18""NO SUBSTITUTES""",LF,4.8,3.36,,,,
C00358.00RA,ALUM NOSING - CLEAR 252 IN,LF,11.6,8.12,,,,C0358A
C00358.00RB,ALUM NOSING SL BRONZE 252 IN,LF,23.5,16.45,,,,C0358RB
C00363.0A21,ALUM RAIL LOCK MED STYLE - CLEAR 258 IN,LF,34.9,24.43,,,,
C00363.0A24,ALUM RAIL LOCK MED STYLE - CLEAR 294 IN,LF,34.9,24.43,,,,
C00363.0B21,ALUM RAIL LOCK MED STYLE BRONZE 258 IN,LF,34.9,24.43,,,,
C00365.2A21,ALUM RAIL LOCK - CLEAR 258 IN,LF,30.2,21.14,,,,
C00365.2A2184,NARROW STILE LEAD RAIL CLEAR FINISH - STANDARD 0.090 WALL MATERIAL -,EA,141.0,98.7,,,,
C00365.2A24,ALUM RAIL LOCK - CLEAR 294 IN,LF,30.2,21.14,,,,
C00365.2B21,ALUM RAIL LOCK BRONZE 258 IN,LF,36.5,25.55,,,,
C00365.2B2184,NARROW STILE LEAD RAIL DARK BRO,E A,166.0,116.2,,,,
C00365.2B24,ALUM RAIL LOCK BRONZE 294 IN,LF,33.3,23.31,,,,
C00365.RA21,ALUM RAIL LOCK - CLEAR 258 IN,LF,50.7,35.49,,,,
C00365.RB21,ALUM RAIL LOCK BRONZE 258 IN,LF,58.8,41.16,,,,
C00367.0000,ALUM EXTRU; GUIDE TRACK - MILL 288 IN,LF,16.6,11.62,,,,
C00367.000B,ALUM EXTRU; GUIDE TRACK- BRONZE 288 IN,LF,30.1,21.07,,,,
