Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Used On,Suggested Resale,Link
85100902,Sensor - Beam Box (Clear) 131 or MOER,EA,546.0,364.0,"Used on 131, 275 M.O.E.R.",,,"131, 275 M.O.E.R.",455.0,http://www.partstown.com/ready_access/rdy85100902;sid=CHNMFYrWEghMFdOAnUZ_GyIWzUcWjE_iUuo=
85100702,Sensor Assy - 131 Not used any longer (Use Beam Box),EA,,,Used on 131,,,131,,
85000100,Slide Kit For Bo-10 & 131,EA,90.0,45.0,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",67.5,http://www.partstown.com/ready_access/rdy85000100;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
85150510,Solenoid & Hook R/L Assy R1 2002 (Horizontal),EA,170.0,85.0,"Used on 131, 275, BO-10, FM-10",,,"131, 275, BO-10, FM-10",127.5,http://www.partstown.com/ready_access/rdy85150510;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
85004010,Solenoid Latch Arm Only R/L R1 & R2 (No Key Ring),EA,45.0,30.0,"Used on 131, 275, 600, BO-10",,,"131, 275, 600, BO-10",37.0,http://www.partstown.com/ready_access/rdy85004010;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
20060026,Spring - Compression (Motor & Clutch),EA,1.8,0.9,"Used on 131, 275, BO-10, FM-10",,,"131, 275, BO-10, FM-10",1.4,
20060025,Spring - Extension (Chain & Cable),EA,4.0,2.0,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",3.0,http://www.partstown.com/ready_access/rdy20060025;sid=CHNMFYrWEghMFdOAnUZ_GyIWzUcWjE_iUuo=
65151101,"Striker Plate - Sensor Striker - Rev ""C""",EA,12.0,6.0,"Used on 131, BO-10, FM-2",,,"131, BO-10, FM-2",9.0,
20110281,Switch - Micro,EA,9.5,4.75,"Used on 131, 275, 600, BO-10, FM-1",,,"131, 275, 600, BO-10, FM-1",7.15,http://www.partstown.com/ready_access/rdy20110281;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
20110214,Switch - Rocker - for PCBA Cover,EA,8.4,4.2,"Used on 131, 275, BO-1, BO-10, BO-2, BO-4, FM-2",,,"131, 275, BO-1, BO-10, BO-2, BO-4, FM-2",6.8,http://www.partstown.com/ready_access/rdy20110214;sid=7_3pWz0nZMnpW2Rxsu7aVZXnKsmzwsn7r_k=
85151300,"Switch Assembly Micro Switch Assy BO-10, 131",EA,123.0,61.0,"Used on 131, BO-10",,,"131, BO-10",93.0,http://www.partstown.com/ready_access/rdy85151300;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
85004500,Thumb Turn For Bo10/131/600/375,EA,57.0,28.0,"Used on 131, BO-10",,,"131, BO-10",43.0,http://www.partstown.com/ready_access/rdy85004500;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
10230104,Washer - Plastic - (Clutch),EA,4.4,2.2,"Used on 131, 275, 600, BO-10",,,"131, 275, 600, BO-10",3.3,
85104000,"Weather Strip Kit BO-2,4,10, 275",EA,14.0,6.0,"Used on 131, 275, BO-10, BO-4, CLVW",,,"131, 275, BO-10, BO-4, CLVW",10.0,http://www.partstown.com/ready_access/rdy85104000;sid=FjseRUIgPgIeRRt9HLgrS-rgsN9x5uTEeZg=
65162501,Wired Switch Cover -Brz- PCBA Control Panel,EA,180.0,90.0,Used on 131,,,131,135.0,http://www.partstown.com/ready_access/rdy65162501;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
65162502,Wired Switch Cover -Clr - PCBA Control Panel,EA,180.0,90.0,Used on 131,,,131,135.0,http://www.partstown.com/ready_access/rdy65162502;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
65107500,"AA100/131 ""M"" Switch Kit Option",EA,136.2,68.1,"Used on 131 SC, 275, AA100",,,"131 SC, 275, AA100",109.0,
85153700,"Cable (PVC) for BO-10 SC, 131 SC (No Chain)",EA,26.0,12.0,"Used on 131 SC, BO-10 SC",,,"131 SC, BO-10 SC",19.0,http://www.partstown.com/ready_access/rdy85153700;sid=CHNMFYrWEghMFdOAnUZ_GyIWzUcWjE_iUuo=
85183201,Door 131 SC Left - Clear,EA,500.0,250.0,Used on 131 SC,,,131 SC,375.0,
85183202,Door 131 SC Right - Clear,EA,500.0,250.0,Used on 131 SC,,,131 SC,375.0,
85183701,Door 131-6 SC Left - Bronze,EA,500.0,250.0,Used on 131 SC,,,131 SC,375.0,
85183703,Door 131-6 SC Left - Clear,EA,500.0,250.0,Used on 131 SC,,,131 SC,375.0,
85183702,Door 131-6 SC Right - Bronze,EA,500.0,250.0,Used on 131 SC,,,131 SC,375.0,
85183704,Door 131-6 SC Right - Clear,EA,500.0,250.0,Used on 131 SC,,,131 SC,375.0,
85002700,Door Handle Kit for Self Closer (Cable Drive only),EA,62.0,31.0,"Used on 131 SC, BO-10 SC",,,"131 SC, BO-10 SC",47.0,http://www.partstown.com/ready_access/rdy85002700;sid=IqEGxZ4RmJYGxcUndJoxyzbR1n1GwWrNYqU=
20010012,Roller Block - Banana Slot - (Order 2 screws 10010107),EA,12.8,6.4,"Used on 131 SC, 275, BO-10 SC",,,"131 SC, 275, BO-10 SC",10.2,
85000150,Symmetrical Track - Bi-Part Slider (comes with 2 tracks and 6 rivets),EA,180.0,90.0,"Used on 131-6, BO-10 SC",,,"131-6, BO-10 SC",135.0,
85197300,275 Door Handle Spring Kit,EA,29.0,14.0,Used on 275,,,275,22.0,http://www.partstown.com/ready_access/rdy85197300;sid=FjseRUIgPgIeRRt9HLgrS-rgsN9x5uTEeZg=
85000700,Adjustment Track Bracket-275 only(complete w/mounting screws)),EA,41.0,20.0,Used on 275,,,275,31.0,
10060086,Bumber Screw (8x1-1/2 Phillips Pan Hd),EA,0.1,0.1,"Used on 275, 600, 602, 604, CLVW",,,"275, 600, 602, 604, CLVW",0.1,
40010030,Bumper,EA,4.0,2.0,"Used on 275, CLVW",,,"275, CLVW",3.0,http://www.partstown.com/ready_access/rdy40010030;sid=IqEGxZ4RmJYGxcUndJoxyzbR1n1GwWrNYqU=
85660300,Bumber West Coast Only,EA,24.0,12.0,Used on 275,,,275,18.0,
20112105,Cable - Auto Latch (Solenoid),EA,6.6,3.3,Used on 275,,,275,5.3,
20112104,Cable - Beam Box To Control Board (New Chassis) (See Jeff for Super Scan Cable),EA,10.8,5.4,"Used on 275, 600",,,"275, 600",8.1,
20112140,Cable - Micro Switch,EA,4.8,2.4,Used on 275,,,275,3.9,
20112101,Cable - Motor (20112145 replacement),EA,10.6,5.3,Used on 275,,,275,8.5,
20112102,Cable - Power,EA,14.3,7.2,"Used on 275, 600",,,"275, 600",11.5,
85182000,"Cable & Chain Assy 275 (2002 and older-no spring) 51-1/2""",EA,70.0,35.0,Used on 275,,,275,52.5,http://www.partstown.com/ready_access/rdy85182000;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
85001800,"Cable & Chain Assy 275/600 55"" (2003 and newer-chassis style w/spring)",EA,60.0,30.0,"Used on 275, 600, CLVW",,,"275, 600, CLVW",45.0,http://www.partstown.com/ready_access/rdy85001800;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
96123600,Cable Clamp (Order 2 screws 10010107),EA,3.0,1.0,"Used on 275, 600",,,"275, 600",2.0,
85002120,Chassis 275 E L/R Electric 2003,EA,900.0,500.0,Used on 275,,,275,672.0,
85002110,Chassis 275 E R/L Electric 2003,EA,900.0,500.0,Used on 275,,,275,672.0,
66123401,Cover (Inspection) Bronze Order 2 Screws 10010114,EA,16.0,8.0,"Used on 275, 600",,,"275, 600",12.0,
66123402,Cover (Inspection) Clear Order 2 Screws 10010115,EA,16.0,8.0,"Used on 275, 600",,,"275, 600",12.0,
85003803,Cover Pow - 275,EA,266.0,133.0,Used on 275,,,275,202.0,
85199521,"Door ""2002"" 275E 30H L/R Brz ***NO MORE***",EA,599.0,300.0,Used on 275,,Discontinued / no stock,275,455.0,
85199522,"Door ""2002"" 275E 30H L/R Clr ***NO MORE***",EA,599.0,300.0,Used on 275,,Discontinued / no stock,275,455.0,
85199523,"Door ""2002"" 275E 30H L/R Pow***NO MORE***",EA,699.0,400.0,Used on 275,,Discontinued / no stock,275,555.0,
85199511,"Door ""2002"" 275E 30H R/L Brz***NO MORE***",EA,599.0,300.0,Used on 275,,Discontinued / no stock,275,455.0,
85199512,"Door ""2002"" 275E 30H R/L Clr***NO MORE***",EA,599.0,300.0,Used on 275,,Discontinued / no stock,275,455.0,
